Date,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12PlusPop_Pct,Series_Complete_18PlusPop_Pct,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus
11/18/2021,Carroll County,OH,40.4,10867,46.5,49.2,75.5,98.6,42.5,11400
11/18/2021,Napa County,CA,68.9,94931,78.7,79.5,87.8,97.4,80.3,108776
11/18/2021,Carson County,TX,32.5,1928,38.1,41.5,60.2,99.1,37.7,2236
11/18/2021,Comanche County,KS,43.1,733,51.5,54.5,75.3,93.6,47.5,808
11/18/2021,Potter County,TX,40.5,47534,49.6,52.7,78.9,99.1,48.3,56681
11/18/2021,Franklin County,NC,46,32050,53.4,55,74.1,97.2,59.5,41116
11/18/2021,Van Buren County,IA,39.4,2775,46.4,49.7,79.1,97.4,42.1,2955
11/18/2021,Bucks County,PA,66,414851,75.5,76.3,89.2,94.5,91.2,567894
11/18/2021,Grant County,OK,39.5,1712,46.9,50.1,73.8,93.9,45.9,1987
11/18/2021,Fannin County,TX,40,14222,46.3,49.2,74.8,99.1,45.2,16038
11/18/2021,Monroe County,MI,52,78227,60,62.5,84.4,97.7,56.3,84486
11/18/2021,Todd County,KY,38.4,4716,46.3,49.9,74,93.9,43.1,5298
11/18/2021,Oconee County,GA,28.2,11372,33.6,34,53,58.3,28.7,
11/18/2021,Ohio County,IN,70.4,4135,80.7,85.1,99.9,98.7,76,4454
11/18/2021,Itasca County,MN,52.2,23547,59.9,62.4,82.9,94.4,55.8,24872
11/18/2021,Allegan County,MI,47.8,56476,56.5,58.9,82,97.7,50.1,59087
11/18/2021,Pecos County,TX,52.4,8294,62.9,64,79.7,99.1,60,9457
11/18/2021,Van Wert County,OH,39.5,11166,46.5,49.7,78,98.6,43.1,12119
11/18/2021,Nassau County,NY,72.8,987829,84.4,86,92.8,97.6,83.4,1123012
11/18/2021,Yukon-Koyukuk Census Area,AK,62.9,3289,78.3,78.2,86.3,96.7,70.3,3638
11/18/2021,Boyd County,KY,43.3,20217,50.2,52.5,68.8,93.9,49,22710
11/18/2021,Citrus County,FL,52.7,78890,58.2,60.3,80.1,98.7,59.3,88611
11/18/2021,Uintah County,UT,36.5,13054,46.5,49.1,75.5,97.5,45.4,16150
11/18/2021,Chattahoochee County,GA,99.9,38911,99.9,99.9,99.9,58.3,99.9,43400
11/18/2021,Iberville Parish,LA,50.6,16464,58.5,60.3,85.2,96.7,56.6,18325
11/18/2021,Yazoo County,MS,44.7,13271,51.6,53,82.6,98.3,50.1,14825
11/18/2021,Roberts County,TX,29.9,255,34.6,37.5,59.6,99.1,32.2,275
11/18/2021,Morgan County,IN,50,35225,58.2,60.8,87.7,98.7,54.2,38035
11/18/2021,Morrill County,NE,32.1,1490,37.5,39.9,58.7,89.8,33.2,
11/18/2021,Skagit County,WA,61.1,78913,71.3,72.9,89.9,96.1,67,85828
11/18/2021,Jefferson County,KY,57.6,441652,67.5,69.1,84.4,93.9,67,505540
11/18/2021,Macon County,AL,42.8,7739,48.3,49,68.3,92.6,53.7,9696
11/18/2021,Butler County,NE,46.7,3743,54.8,57.9,79.6,89.8,0,
11/18/2021,Decatur County,KS,37.5,1060,43.4,46.5,65.3,93.6,40.1,1131
11/18/2021,Clayton County,GA,22,64203,26.9,26.6,39.1,58.3,24.7,71616
11/18/2021,Lawrence County,SD,50.6,13075,56.9,58.5,81.6,96.3,59.3,15307
11/18/2021,Berks County,PA,57,240067,66.5,68.8,89.9,94.5,72.2,301531
11/18/2021,Lawrence County,IN,45.9,20827,53,56.2,77.8,98.7,49.7,22518
11/18/2021,Grant County,OR,42.8,3084,48.5,50.8,60.9,97.8,45.9,3304
11/18/2021,Karnes County,TX,51.8,8074,60.1,63.6,91.5,99.1,57.1,8901
11/18/2021,Kershaw County,SC,52.5,34926,61.5,63.3,82.8,93.9,60.3,39845
11/18/2021,Brown County,KS,54.7,5227,65.9,67.5,89.3,93.6,60.3,5722
11/18/2021,Coamo Municipio,PR,64.3,24643,72.1,71.5,71.7,95.8,72.9,27652
11/18/2021,Muhlenberg County,KY,47.1,14432,54.3,56.4,76.1,93.9,52.2,15921
11/18/2021,Phillips County,MT,40,1582,47.5,50,72.1,95.7,45.2,1772
11/18/2021,Whitley County,IN,44.3,15043,52,55.3,87,98.7,47.6,16083
11/18/2021,Comanche County,TX,42,5729,49,52.2,69.8,99.1,46.9,6386
11/18/2021,Gregory County,SD,45.7,1914,54.2,57.4,79.9,96.3,53.1,2214
11/18/2021,Humboldt County,NV,38.1,6411,46.5,49.3,73.7,94.9,43.4,7276
11/18/2021,Webster County,MS,44.7,4330,52.5,56.6,92.5,98.3,49.5,4794
11/18/2021,Sherman County,NE,37.4,1121,43.1,45.3,61,89.8,0,
11/18/2021,Jackson County,KY,32.9,4381,38.7,40.7,56.9,93.9,36.9,4884
11/18/2021,Bureau County,IL,52.2,17048,60.1,62.2,80,97.8,57.3,18663
11/18/2021,Cherokee County,KS,42,8366,49,51.2,70,93.6,47.8,9496
11/18/2021,Winona County,MN,58.7,29645,66.2,67,99.9,94.4,64.7,31809
11/18/2021,Tippah County,MS,38.6,8498,45.7,49,80.7,98.3,44.1,9700
11/18/2021,Washington County,VA,53.1,28557,59.9,62,83.7,82.2,61.4,32781
11/18/2021,Clay County,FL,45.1,98991,52.7,54.7,76.1,98.7,53.1,115743
11/18/2021,Dickenson County,VA,42.7,6120,48.9,50.5,69.9,82.2,50.6,7194
11/18/2021,Stafford County,VA,50,76462,59.8,61.3,83.4,82.2,58.1,87597
11/18/2021,Morris County,TX,38.9,4814,45.8,48.7,70.4,99.1,44.5,5507
11/18/2021,Howard County,MD,75.3,245241,89,89.6,97.6,98.7,81.4,265067
11/18/2021,Sioux County,NE,23.2,270,25.8,27.3,35.7,89.8,0,
11/18/2021,Peoria County,IL,55.1,98754,65.5,67.5,86.5,97.8,58.9,105249
11/18/2021,Dawson County,NE,43.1,10164,52.4,53.9,54.4,89.8,43.5,
11/18/2021,Red Willow County,NE,34.1,3655,39.9,42.1,59.2,89.8,0,
11/18/2021,Johnson County,KY,46.5,10311,54.2,56.8,73.4,93.9,52.4,11585
11/18/2021,Jackson County,OH,42.4,13753,50.4,53.1,78.4,98.6,45.7,14715
11/18/2021,Shawano County,WI,48.7,19920,56.3,58.7,78.6,96.8,52.4,21226
11/18/2021,Cobb County,GA,40,303851,47,47.6,67.3,58.3,45,338211
11/18/2021,Comal County,TX,54.3,84883,63.5,65.7,84.5,99.1,62.7,97776
11/18/2021,Douglas County,OR,49.7,55146,56.8,59.3,76,97.8,55.3,61264
11/18/2021,Wallace County,KS,34.6,525,41.5,44.5,63,93.6,36.4,553
11/18/2021,Reeves County,TX,43.1,6888,50.9,48,78.6,99.1,94.6,15076
11/18/2021,Polk County,MN,52.8,16547,63,65.7,85.6,94.4,59.1,18324
11/18/2021,Grady County,OK,34.5,19251,40.6,43,63,93.9,40.6,22579
11/18/2021,Comanche County,OK,55,66434,65.6,67.2,81.9,93.9,66.4,79716
11/18/2021,Treasure County,MT,43.8,305,52.2,55.4,83.1,95.7,49.1,341
11/18/2021,Green County,WI,58.3,21563,67.6,69.7,90.3,96.8,61.8,22520
11/18/2021,Jeff Davis County,TX,48.9,1112,50.1,50,54.6,99.1,54,1229
11/18/2021,Bailey County,TX,35.5,2485,44.1,48.5,69.1,99.1,41.9,2932
11/18/2021,Foster County,ND,51,1636,59.4,61.6,80.2,92.2,56.4,1790
11/18/2021,Nobles County,MN,54.8,11856,67.7,70.9,87.3,94.4,59.7,12554
11/18/2021,Wilson County,TX,47.6,24333,56.1,58.8,77,99.1,54,27579
11/18/2021,Chickasaw County,IA,50.7,6053,59.9,63.7,85.7,97.4,53.4,6350
11/18/2021,Clarendon County,SC,42.9,14465,48.5,50.3,67.8,93.9,50.2,16867
11/18/2021,Boone County,WV,30.8,6606,35.3,36.9,54.8,60.3,41.8,8944
11/18/2021,Seminole County,GA,18.6,1502,21.4,21,13.4,58.3,20.4,1649
11/18/2021,Coffee County,AL,36,18829,42.5,45,71.1,92.6,43.7,22800
11/18/2021,Davis County,IA,34.1,3065,42.5,46.3,76.2,97.4,36.2,3235
11/18/2021,Lincoln County,KY,37.3,9161,44.3,46.6,67,93.9,41.7,10181
11/18/2021,Lewis and Clark County,MT,54,37507,63,64.7,86.3,95.7,60.9,42010
11/18/2021,DuPage County,IL,68.6,633230,80,81,93,97.8,73.4,674838
11/18/2021,Jefferson County,WI,52.2,44273,60,61.8,83.6,96.8,56.2,46997
11/18/2021,Arecibo Municipio,PR,99.9,95636,99.9,99.9,99.9,95.8,99.9,98028
11/18/2021,Scurry County,TX,43.1,7201,51.6,53.8,74.4,99.1,49.9,8328
11/18/2021,Osborne County,KS,39.2,1342,45.8,48.9,70.8,93.6,42.7,1457
11/18/2021,Live Oak County,TX,39.1,4771,45.1,47.3,54.2,99.1,43.5,5303
11/18/2021,Pope County,AR,45.5,29148,53.5,54.7,73.6,90.3,52,33087
11/18/2021,New Castle County,DE,60.7,339011,70.5,71.6,88.3,96.3,71.5,396166
11/18/2021,Gray County,KS,40.5,2427,49.9,54.3,85,93.6,45.8,2733
11/18/2021,Waller County,TX,37.5,20722,44.7,45.8,70.9,99.1,43.2,23822
11/18/2021,Calhoun County,AL,42.7,48491,49.6,52.1,77.1,92.6,51.9,58879
11/18/2021,Hancock County,IL,44.1,7816,50.9,53.9,75.9,97.8,49.9,8830
11/18/2021,Placer County,CA,60.3,240344,70,71.7,86.9,97.4,67.2,263081
11/18/2021,Clinton County,PA,40.8,15771,46.8,49.1,75.6,94.5,50.3,19371
11/18/2021,Emmons County,ND,31.4,1019,35.8,38.2,58.6,92.2,37.3,1206
11/18/2021,Boundary County,ID,30.2,3696,,39.2,61.4,97.6,33,
11/18/2021,Schuyler County,MO,26.4,1230,32.1,34.8,53.6,91.2,29.2,1359
11/18/2021,Wright County,IA,52.9,6651,62.7,66,83.6,97.4,56.3,7049
